file_name,true_label,predicted,correct
G14_D02_E_45_Notr_C1.wav,neutral,neutral,True
G01_D01_C_11_Sad_C4.wav,sad,sad,True
G12_D03_E_21_Neutral_C1.wav,neutral,neutral,True
G10_D02_M_25_neutral_C1.wav,neutral,neutral,True
G19_D05_K_87_Notr_C1.wav,neutral,neutral,True
G23_D02_K_24_Ofkeli_C3.wav,angry,angry,True
G06_D04_M_48_Neutral_C1.wav,neutral,neutral,True
G13_D04_F_28_Sad_C4.wav,sad,sad,True
G04_D02_K_21_Uzgun_C4.wav,sad,sad,True
G14_D02_F_28_Shocked_C5.wav,surprised,sad,False
G06_D06_C_08_Shocked_C5.wav,surprised,surprised,True
G23_D01_K_23_Uzgun_C4.wav,sad,sad,True
G04_D06_C_13_Furious_C3.wav,angry,angry,True
G15_D04_K_28_Uzgun_C4.wav,sad,sad,True
G09_D04_K_25_Notr_C1.wav,neutral,neutral,True
G21_D04_C_13_Ofkeli_C3.wav,angry,angry,True
G23_D06_C_12_Ofkeli_C3.wav,angry,angry,True
G04_D01_M_20_Neutral_C1.wav,neutral,neutral,True
G11_D06_M_22_Furious_C3.wav,angry,angry,True
G13_D04_K_45_Uzgun_C4.wav,sad,sad,True
G14_D05_K_25_Notr_C1.wav,neutral,happy,False
G18_D06_C_7_Mutlu_C2.wav,happy,happy,True
G13_D02_E_42_Mutlu_C2.wav,happy,happy,True
G19_D01_C_08_No_Mutlu_C2.wav,happy,happy,True
G16_D03_F_19_Neutral_C1.wav,neutral,neutral,True
G01_D06_K_19_Mutlu_C2.wav,happy,happy,True
G15_D04_K_28_Notr_C1.wav,neutral,neutral,True
G08_D02_E_20_Notr_C1.wav,neutral,neutral,True
G17_D06_E_68_Mutlu_C2.wav,happy,neutral,False
G14_D01_C_10_Mutlu_C2.wav,happy,happy,True
G12_D08_E_13_Notr_C1.wav,neutral,neutral,True
G18_D05_E_18_Saskin_C5.wav,surprised,surprised,True
G03_D03_C_11_Saskin_C5.wav,surprised,surprised,True
G23_D05_C_12_Saskin_C5.wav,surprised,surprised,True
G06_D01_F_20_Furious_C3.wav,angry,angry,True
G15_D01_C_05_Mutlu_C2.wav,happy,happy,True
G13_D02_M_22_Furious_C3.wav,angry,angry,True
